produto,preco_real,imagem_url,rating,peso_g,preco_100g,categoria
Cappuccino Diet 3 Corações Pote 150g,18.89,https://http2.mlstatic.com/D_Q_NP_2X_979787-MLB47516598962_092021-V-cappuccino-diet-3-coracoes-pote-150g.webp,4.9,150.0,12.59,Cappuccino
Café torrado e moído a vácuo tradicional pacote 500g 3 Corações,32.9,https://http2.mlstatic.com/D_Q_NP_2X_915891-MLU72341214315_102023-V.webp,4.9,500.0,6.58,Café
Café Solúvel 100% Arábica Três Corações Kit 24 Refis De 40g,357.5,https://http2.mlstatic.com/D_Q_NP_2X_838297-MLA82243090294_022025-V.webp,,40.0,893.75,Café
Café em Grao Torrado Expresso Arábica Torra Escura Grãos 1kg Gourmet Cafe Italle,99.9,https://http2.mlstatic.com/D_Q_NP_2X_741763-MLB48482476260_122021-V.webp,4.5,1000.0,9.99,Café
Café Torrado E Moído Sabor Da fazenda Pacote 500g Melitta,32.9,https://http2.mlstatic.com/D_Q_NP_2X_685613-MLA81597532667_122024-V.webp,4.8,500.0,6.58,Café
Café Em Pó Torrado E Moído Tradicional 500g 3 Corações,32.9,https://http2.mlstatic.com/D_Q_NP_2X_852763-MLU75983596765_042024-V.webp,4.9,500.0,6.58,Café
Café Torrado e Moído Tradicional Melitta Pacote 500g,32.9,https://http2.mlstatic.com/D_Q_NP_2X_601967-MLU74111685360_012024-V.webp,4.9,500.0,6.58,Café
Cafe Graos Torrado Torra Media Arábica Em Grãos 1kg Gourmet,99.9,https://http2.mlstatic.com/D_Q_NP_2X_834975-MLU72699934023_112023-V.webp,4.2,1000.0,9.99,Café
Café Torrado e Moído Tradicional Pilão Pacote 500g,42.9,https://http2.mlstatic.com/D_Q_NP_2X_713401-MLU74486524762_022024-V.webp,4.9,500.0,8.58,Café
Café Melitta 500g Torrado E Moído A Vácuo,37.01,https://http2.mlstatic.com/D_Q_NP_2X_786667-MLB53182203688_012023-V.webp,4.8,500.0,7.4,Café
Café Torrado e Moído a Vácuo Tradicional Pilão Pacote 500g,42.9,https://http2.mlstatic.com/D_Q_NP_2X_797257-MLU74928274069_032024-V.webp,4.9,500.0,8.58,Café
Café Torrado e Moído Tradicional Caboclo Pacote 500g,28.9,https://http2.mlstatic.com/D_Q_NP_2X_797578-MLU74110420570_012024-V.webp,4.8,500.0,5.78,Café
Café Torrado e Moído a Vácuo Extraforte Pilão Pacote 500g,21.0,https://http2.mlstatic.com/D_Q_NP_2X_758299-MLU74218963037_012024-V.webp,4.9,500.0,4.2,Café
Power Focus Café Bullet Coffee Bulletproof 380g,184.9,https://http2.mlstatic.com/D_Q_NP_2X_950972-MLU74126707165_012024-V.webp,4.9,380.0,48.66,Café
Café Gourmet Torrado/moido 100% Árabica Aromas Baggio 250gr Aroma Chocolate Com Avelã,35.9,https://http2.mlstatic.com/D_Q_NP_2X_743377-MLA81472532983_122024-V.webp,4.9,250.0,14.36,Café
Café Solúvel Liofilizado Instantâneo Itália Seleção 510g,127.45,https://http2.mlstatic.com/D_Q_NP_2X_824964-MLU77951167596_082024-V.webp,4.8,510.0,24.99,Café
Café torrado e moído tradicional a vácuo 500g 3 Corações,39.99,https://http2.mlstatic.com/D_Q_NP_2X_948143-MLU72836550333_112023-V.webp,4.9,500.0,8.0,Café
Bebida Cappuccino Qualimax Tradicional 1kg Máquinas Vending,76.44,https://http2.mlstatic.com/D_Q_NP_2X_717502-MLU74419718452_022024-V.webp,4.8,1000.0,7.64,Cappuccino
Café Em Grãos Helena 1kg 100% Arábica,99.71,https://http2.mlstatic.com/D_Q_NP_2X_700932-MLU74609288947_022024-V.webp,4.7,1000.0,9.97,Café
Café Orgânico Especial Harpia Coffee Torrado Em Grãos 1 Kg,98.99,https://http2.mlstatic.com/D_Q_NP_2X_923657-MLU78700848596_092024-V.webp,4.6,1000.0,9.9,Café
Café Torrado e Moído Extraforte Pilão Pacote 500g,41.4,https://http2.mlstatic.com/D_Q_NP_2X_889875-MLU74227152865_012024-V.webp,4.9,500.0,8.28,Café
Café Torrado e Moído Clássico Orfeu Caixa 250g,31.49,https://http2.mlstatic.com/D_Q_NP_2X_683277-MLU74218953227_012024-V.webp,4.9,250.0,12.6,Café
Cappuccino Tradicional Cremoso Cacau E Canela 1 Kg Solúvel,57.99,https://http2.mlstatic.com/D_Q_NP_2X_810001-MLU74049230278_012024-V.webp,4.7,1000.0,5.8,Cappuccino
Café Torrado em Grãos Espresso Pilão Pouch 1kg,130.95,https://http2.mlstatic.com/D_Q_NP_2X_978672-MLA75698756866_042024-V.webp,4.8,1000.0,13.09,Café
Café instantâneo cappuccino 3 Corações Cappuccino Classic sem glúten caixa 200g,23.99,https://http2.mlstatic.com/D_Q_NP_2X_657053-MLU72565717150_112023-V.webp,4.8,200.0,11.99,Cappuccino
Café Gourmet Em Grãos Vô Luiz Arábica 1kg,78.9,https://http2.mlstatic.com/D_Q_NP_2X_808980-MLB43285199649_082020-V.webp,5.0,1000.0,7.89,Café
Café instantâneo cappuccino Café do Centro Solúvel tradicional sem canela sem glúten pacote 1 kg,51.19,https://http2.mlstatic.com/D_Q_NP_2X_639133-MLA74780676377_022024-V.webp,4.9,1000.0,5.12,Cappuccino
Café Torrado em Grãos Bravo Café Gourmet Pacote 1kg,89.9,https://http2.mlstatic.com/D_Q_NP_2X_754948-MLA79855720243_102024-V.webp,4.9,1000.0,8.99,Café
